team,scheme_change,direction,pos_boost,pos_fade,note
ATL,high,run,TE,WR3,"Stefanski: shotgun 78->46, 11 pers 37->92, motion 72->31. Pitts target hog in wk1."
PHI,high,run,TE;RB,WR3,"Mannion scheme: shotgun 75->35, 12 pers 30->59, air yds 7.3->1.4. Backup QBs."
MIA,high,pass,WR1,RB,"Slowik: air yds 6.0->12.1, shotgun 68->28, zero behind-LOS throws. Vertical."
DEN,high,pass,WR1,WR3,"Webb: air yds 7.1->13.8, deep rate 27->55, but 3WR sets 65->44. Backup QBs only."
LAC,high,run,RB,WR3,"McDaniel: 2+RB sets 35->77, air yds 7.3->9.6, deep rate 31->58."
SEA,med,run,RB;TE,WR,"Fleury: air yds 8.1->2.9, between-numbers 49->83. Starters rested, low confidence."
BAL,high,pass,WR,TE,"Doyle: 11 pers 26->62, shotgun 61->38, motion 55->21. WR snap share up."
CIN,med,run,RB,WR3,"Air yds 6.9->4.0, behind-LOS 25->55, shotgun 76->54. Screen-heavy, RB rec value."
LV,high,run,TE,WR3,"Kubiak: shotgun 57->37, motion 50->63, 2+TE 45->58."
WAS,high,neutral,TE,WR3,"Blough replaces Kingsbury: shotgun 85->50, 12 pers 29->39, air yds 7.1->8.4."
ARI,,,,,
BUF,,,,,
CAR,,,,,
CHI,,,,,
CLE,,,,,
DAL,,,,,
DET,,,,,
GB,,,,,
HOU,,,,,
IND,,,,,
JAX,,,,,
KC,,,,,
LAR,,,,,
MIN,,,,,
NE,,,,,
NO,,,,,
NYG,,,,,
NYJ,,,,,
PIT,,,,,
SF,,,,,
TB,,,,,
TEN,,,,,
